agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2,rmse_task,r2_task
gpt-5-mini-v_low-r_medium,numeric,,0.0361280441284179,huber,0.0971214398741722,0.1181914210319519,0.8647702592603705,0.0528819423168897,-1019.015870096502,-1008.573953326476,0.1101500615452501,0.0941896939684044,0.8845253834645211,0.0571081220892502,0.044212065461007,0.0072439787559436,11,240,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:08:40.713596+00:00,0.5055516958236694,0.4320472180843353,0.5055516958236694,0.4320472180843353,0.0455659590661525,-1.632206678390503,0.5204474329948425,2.9999990463256836,0.5204474329948425,2.9999990463256836,,,,,,,,
gpt-5-mini-v_low-r_medium,numeric-conf,,0.0298114214092493,huber,0.0932620391249656,0.108949102461338,0.8604766650262927,0.0400215879082679,-1058.0997295984664,-1047.6578128284405,0.108046277821105,0.0936774548888206,0.8689266631468452,0.0538380218483962,0.0727257328051509,0.0067695329857595,11,240,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:12:36.146638+00:00,0.5055516958236694,0.4110195338726043,0.5055516958236694,0.4110195338726043,0.0455659590661525,-1.6300510168075562,0.5204474329948425,2.99999737739563,0.5204474329948425,2.99999737739563,,,,,,,,
gpt-5-mini-v_low-r_medium,numeric,,0.0361280441284179,huber,0.0971214398741722,0.1181914210319519,0.8647702592603705,0.0528819423168897,-1019.015870096502,-1008.573953326476,0.1101514243210177,0.0941880490834062,0.8845225261445989,0.0571134632972886,0.0442091695557941,0.0072487664313027,11,240,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:16:18.083178+00:00,0.5055516958236694,0.4320472180843353,0.5055516958236694,0.4320472180843353,0.0455659590661525,-1.632206678390503,0.5204474329948425,2.9999990463256836,0.5204474329948425,2.9999990463256836,,,,,,,,
gpt-5-mini-v_low-r_medium,numeric,,0.0420065969228744,huber,0.0971219018101692,0.1181914135813713,0.8647702784939064,0.0528818506747484,-1017.0159042313672,-1003.0933485379992,0.1116002042329125,0.0948979055204174,0.8814648866875927,0.0587281288026931,0.0449190117689696,0.0079620115278345,11,240,logistic,4,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:18:05.678767+00:00,0.5055516958236694,0.4320452511310577,0.5055516958236694,0.4320452511310577,0.0455659590661525,-1.6322414875030518,0.5204474329948425,2.999999523162842,-0.0582337826490402,3.0,,,,,,,,
gpt-5-mini-v_low-r_medium,numeric-conf,,0.0298114214092493,huber,0.0932620391249656,0.108949102461338,0.8604766650262927,0.0400215879082679,-1058.0997295984664,-1047.6578128284405,0.1080387085267765,0.0936712516031482,0.8689450274613375,0.0538336248383246,0.0727194868479714,0.0067787950734297,11,240,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:22:25.327948+00:00,0.5055516958236694,0.4110195338726043,0.5055516958236694,0.4110195338726043,0.0455659590661525,-1.6300510168075562,0.5204474329948425,2.99999737739563,0.5204474329948425,2.99999737739563,,,,,,,,
gpt-5-mini-v_low-r_medium,numeric,,0.0420065969228744,huber,0.0971219018101692,0.1181914135813713,0.8647702784939064,0.0528818506747484,-1017.0159042313672,-1003.0933485379992,0.1116042838118261,0.0948998860202052,0.8814562203560085,0.0587326808387178,0.0449208811873739,0.0079600120629324,11,240,logistic,4,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:36:05.295357+00:00,0.5055516958236694,0.4320452511310577,0.5055516958236694,0.4320452511310577,0.0455659590661525,-1.6322414875030518,0.5204474329948425,2.999999523162842,-0.0582337826490402,3.0,,,,,,,,
gpt-5-mini-v_low-r_medium,numeric-conf,,0.0354314111173152,huber,0.0932575613260269,0.108949102461338,0.8604766650262927,0.0400125157088041,-1056.0997295984664,-1042.1771739050985,0.1092534002765615,0.0954958689890124,0.8659815285494994,0.0530739529150029,0.074543743896665,0.0080700999001662,11,240,logistic,4,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:43:11.421768+00:00,0.5055516958236694,0.4110520184040069,0.5055516958236694,0.4110520184040069,0.0455659590661525,-1.6299099922180176,0.5204474329948425,2.999993324279785,-0.0582337826490402,3.0,,,,,,,,
gpt-5-mini-v_low-r_medium,numeric,,0.0420063249766826,huber,0.0970750227570533,0.1181513741612434,0.8648618878254026,0.05145452208817,-1015.178543699984,-997.775349083274,0.1258479649406189,0.1094591976431283,0.8492666211044282,0.0620998738405949,0.0459194734828038,-0.0004075121653802,11,240,logistic,5,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:59:51.363247+00:00,0.5055516958236694,0.43030846118927,0.5004981160163879,0.3925997316837311,0.0455659590661525,-1.6277694702148438,0.5204474329948425,2.9999990463256836,-0.0582337826490402,3.0,,,,,,,,
gpt-5-mini-v_low-r_medium,numeric-conf,,0.035431083291769,huber,0.088422380387783,0.1062804758548736,0.8672279926455944,0.0348766468465328,-1066.003354296086,-1048.600159679376,0.1178215064817965,0.0944323995348179,0.844136695936393,0.0704587064012429,0.0427488420858527,0.013806682220011,11,240,logistic,5,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T19:08:16.343363+00:00,0.5055516958236694,0.4237034618854522,0.5004981160163879,0.7508924007415771,0.0455659590661525,-1.6694066524505615,0.5204474329948425,2.999997615814209,-0.0582337826490402,3.0,,,,,,,,
gpt-5-mini-v_low-r_medium,numeric,,0.0229318812489509,huber,0.0799516811966896,0.0975688993930816,0.9078441187309252,0.0144907936453819,-1111.0543366031611,-1100.6124198331352,0.0893093169960313,0.0726301170840407,0.924087975016662,0.0519713401275754,0.0504100482391588,0.0083524419322158,11,240,noisy_or,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T19:22:07.310839+00:00,0.5055516958236694,0.4206114411354065,0.5055516958236694,0.4206114411354065,,,,,,,0.5037974119186401,0.0573534667491912,0.5437019467353821,0.8436083793640137,0.5437019467353821,0.8436083793640137,,
